Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
REPTILIA,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,,BOD+CAP,,,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Testudines,Cheloniidae,Chelonia,Chelonia mydas,,BOD+CAP,II,II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
REPTILIA,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus + subspecies,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
REPTILIA,Crocodylia,Crocodylidae,Osteolaemus,Osteolaemus tetraspis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,I,I,I,I,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Serpentes,Pythonidae,Python,Python sebae,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Cetacea,Physeteridae,Physeter,Physeter macrocephalus,,TEE,,,,,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,TRO,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,,BEL+CAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,,,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Sauria,Varanidae,Varanus,Varanus niloticus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,PLA+SKI,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,I,I,I,I,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Pythonidae,Python,Python reticulatus,,BEL+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Leopardus,Leopardus pardalis,,SKI,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Carnivora,Felidae,Lynx,Lynx rufus,,SKI+SKP,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Pythonidae,Python,Python sebae,,SID+SKD+SKI+SKP,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Artiodactyla,Bovidae,Damaliscus,Damaliscus pygargus pygargus,,TRO,I,I,I,I,I,I,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,,BOD,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,,LIV,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Pythonidae,Python,Python reticulatus,,SID+SKD+SKP,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Proboscidea,Elephantidae,Elephas,Elephas maximus,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus porosus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Carnivora,Canidae,Canis,Canis lupus,,SKI,,,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera onca,,PLA+SKI,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus + subspecies,,BOD,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera tigris,,CLA,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
AVES,Falconiformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,,FEA,,,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Amazona,Amazona autumnalis,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna squamosa,,SHE,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,SID+SKD+SKI+SKP,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Perissodactyla,Equidae,Equus,Equus zebra hartmannae,,SKI,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Pythonidae,Python,Python reticulatus,,SKI,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,,SID+SKD+SKP,I,I,I,I,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Aratinga,Aratinga canicularis,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Varanidae,Varanus,Varanus salvator,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
BIVALVIA,Veneroida,Tridacnidae,Hippopus,Hippopus hippopus,,CAR+SHE,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Leopardus,Leopardus wiedii,,SKI,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Perissodactyla,Equidae,Equus,Equus zebra hartmannae,,TRO,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Falconiformes,Accipitridae,Aquila,Aquila chrysaetos,,FEA,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Amazona,Amazona albifrons,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus + subspecies,,SID+SKD+SKI+SKP,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Odobenidae,Odobenus,Odobenus rosmarus,,CAR+IVC+IVP+TUS,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III
AVES,Strigiformes,Tytonidae,Tyto,Tyto alba,,BOD,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Falconiformes,Accipitridae,Buteo,Buteo jamaicensis,,FEA,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,BEL+GAR+HAN+LEA+LPL+LPS+SKO,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Testudines,Testudinidae,Chelonoidis,Chelonoidis carbonaria,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
Orchidales,Orchidales,Orchidaceae,Orchidaceae,Orchidaceae hybrid,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,BEL+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna gigas,,SHE,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Colubridae,Ptyas,Ptyas mucosus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,,,,,,,,,,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,,SKI,I,I,I,I,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Puma,Puma concolor,,PLA+SKI,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,TRO,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
REPTILIA,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,BOD+CAP,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
AVES,Psittaciformes,Psittacidae,Amazona,Amazona ochrocephala,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna crocea,,SHE,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,SKP,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,,TEE+TUS,,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Primates,Cercopithecidae,Papio,Papio ursinus,,TRO,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Osteolaemus,Osteolaemus tetraspis,,BOD,I,I,I,I,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Carnivora,Felidae,Leopardus,Leopardus pardalis,,BEL+FPL+FPS+FRA+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Serpentes,Boidae,Boa,Boa constrictor,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
ACTINOPTERYGII,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,,LIV,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Serpentes,Pythonidae,Python,Python bivittatus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Leptailurus,Leptailurus serval,,SKI,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,SKP,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
