Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,SKU,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera tigris,,TEE,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Artiodactyla,Bovidae,Kobus,Kobus leche,,TRO,I,I,I,I,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera leo,,TRO,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Strigiformes,Tytonidae,Tyto,Tyto alba,,FEA,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Amazona,Amazona finschi,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I,I,I
REPTILIA,Testudines,Testudinidae,Testudo,Testudo graeca,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Elapidae,Naja,Naja naja,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,,,,,,,,,,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Varanidae,Varanus,Varanus exanthematicus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
GASTROPODA,Mesogastropoda,Strombidae,Strombus,Strombus gigas,,SHE,,,,,,,,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus moreletii,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II
AVES,Falconiformes,Accipitridae,Buteo,Buteo jamaicensis,,BOD,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Strigiformes,Strigidae,Bubo,Bubo virginianus,,FEA,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Lynx,Lynx canadensis,,BEL+FPL+FPS+GAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
CYCADOPSIDA,Cycadales,Cycadaceae,Cycas,Cycas revoluta,,LIV,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Pythonidae,Python,Python regius,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Boidae,Boa,Boa constrictor,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,SKI,,,,,,,,,,,,,,,,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,SKU+TRO,,,,,,,,,,,,,,,,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,TRO,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,BOD,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus siamensis,,BOD,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,CLA,,,,,,,,,,,,,,,,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,,EGG,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Ara,Ara ararauna,,FEA,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Ara,Ara macao,,FEA,,III,III,III,III,III,II,II,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,FOO,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
AVES,Psittaciformes,Psittacidae,Amazona,Amazona aestiva,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Amazona,Amazona amazonica,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
CARYOPHYLLALES,Caryophyllales,Cactaceae,Echinocereus,Echinocereus pectinatus,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus siamensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Serpentes,Pythonidae,Python,Python regius,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,KIL,MEA,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna maxima,,SHE,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Boidae,Boa,Boa constrictor,,SKI+SKP,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Testudines,Cheloniidae,Chelonia,Chelonia mydas,,BEL+CAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,II,II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Artiodactyla,Camelidae,Vicugna,Vicugna vicugna,,GAR,I,I,I,I,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
CARYOPHYLLALES,Caryophyllales,Cactaceae,Pachycereus,Pachycereus marginatus,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
CARYOPHYLLALES,Caryophyllales,Cactaceae,Stenocereus,Stenocereus thurberi,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna maxima,,LIV,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Varanidae,Varanus,Varanus exanthematicus,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Teiidae,Tupinambis,Tupinambis teguixin,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Testudines,Cheloniidae,Chelonia,Chelonia mydas,KIL,MEA,II,II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Testudines,Cheloniidae,Chelonia,Chelonia mydas,,SHO,II,II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus arctos,,TRO,I/II,I/II,I/II,I/II,II,II,II,II,II,II,II,II,II,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus porosus,,BOD,II,II,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus arctos,,CLA,I/II,I/II,I/II,I/II,II,II,II,II,II,II,II,II,II,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Carnivora,Felidae,Prionailurus,Prionailurus bengalensis,,BEL+GAR+HAN+LEA+LPL+LPS+SKO,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
LILIALES,Liliales,Agavaceae,Agave,Agave victoriae-reginae,,LIV,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,KIL,MEA,,,,,,,,,,,,,,,,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,,SKI,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus arctos,,SKI,I/II,I/II,I/II,I/II,II,II,II,II,II,II,II,II,II,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Proboscidea,Elephantidae,Elephas,Elephas maximus,,SKP,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,TEE,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
AVES,Falconiformes,Accipitridae,Accipiter,Accipiter cooperii,,BOD,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Testudines,Cheloniidae,Caretta,Caretta caretta,,BOD+CAP,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
AVES,Falconiformes,Cathartidae,Vultur,Vultur gryphus,,FEA,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
AVES,Strigiformes,Strigidae,Bubo,Bubo virginianus,,FOO,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Mustelidae,Mustela,Mustela sibirica,,BEL+GAR+HAN+LPL+LPS+SHO+SKO,,,,,,,,,,,,,,,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus novaeguineae,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,,MEA,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
GASTROPODA,Mesogastropoda,Strombidae,Strombus,Strombus gigas,KIL,MEA,,,,,,,,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Mustelidae,Lontra,Lontra canadensis,,SKI+SKP,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Lynx,Lynx canadensis,,SKI+SKP,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Varanidae,Varanus,Varanus salvator,,SID+SKD+SKI,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Testudines,Cheloniidae,Eretmochelys,Eretmochelys imbricata,,SKO,,,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Serpentes,Colubridae,Ptyas,Ptyas mucosus,,SID+SKD+SKI+SKP,,,,,,,,,,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Varanidae,Varanus,Varanus salvator,,SKP,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,TEE,,,,,,,,,,,,,,,,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Canidae,Canis,Canis lupus,,TRO,,,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Primates,Cercopithecidae,Papio,Papio anubis,,TRO,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
ACTINOPTERYGII,Acipenseriformes,Acipenseridae,Acipenser,Acipenseriformes,KIL,CAV,,,,,,,,,,,,,,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
